d,s,m,param_count
8,4,3,1409
16,4,3,2353
16,8,3,3809
16,8,6,5585
16,12,3,6129
16,12,6,10089
16,12,9,14049
24,4,3,3297
24,8,3,4817
24,8,6,6593
24,12,3,7201
24,12,6,11161
24,12,9,15121
24,16,3,10449
24,16,6,17457
24,16,9,24465
24,20,3,14561
24,20,6,25481
24,20,9,36401
32,4,3,4241
32,8,3,5825
32,8,6,7601
32,12,3,8273
32,12,6,12233
32,12,9,16193
32,16,3,11585
32,16,6,18593
32,16,9,25601
32,20,3,15761
32,20,6,26681
32,20,9,37601
32,24,3,20801
32,24,6,36497
32,24,9,52193
32,28,3,26705
32,28,6,48041
32,28,9,69377
40,4,3,5185
40,8,3,6833
40,8,6,8609
40,12,3,9345
40,12,6,13305
40,12,9,17265
40,16,3,12721
40,16,6,19729
40,16,9,26737
40,20,3,16961
40,20,6,27881
40,20,9,38801
40,24,3,22065
40,24,6,37761
40,24,9,53457
40,28,3,28033
40,28,6,49369
40,28,9,70705
40,32,3,34865
40,32,6,62705
40,32,9,90545
40,36,3,42561
40,36,6,77769
40,36,9,112977
48,4,3,6129
48,8,3,7841
48,8,6,9617
48,12,3,10417
48,12,6,14377
48,12,9,18337
48,16,3,13857
48,16,6,20865
48,16,9,27873
48,20,3,18161
48,20,6,29081
48,20,9,40001
48,24,3,23329
48,24,6,39025
48,24,9,54721
48,28,3,29361
48,28,6,50697
48,28,9,72033
48,32,3,36257
48,32,6,64097
48,32,9,91937
48,36,3,44017
48,36,6,79225
48,36,9,114433
48,40,3,52641
48,40,6,96081
48,40,9,139521
48,44,3,62129
48,44,6,114665
48,44,9,167201
56,4,3,7073
56,8,3,8849
56,8,6,10625
56,12,3,11489
56,12,6,15449
56,12,9,19409
56,16,3,14993
56,16,6,22001
56,16,9,29009
56,20,3,19361
56,20,6,30281
56,20,9,41201
56,24,3,24593
56,24,6,40289
56,24,9,55985
56,28,3,30689
56,28,6,52025
56,28,9,73361
56,32,3,37649
56,32,6,65489
56,32,9,93329
56,36,3,45473
56,36,6,80681
56,36,9,115889
56,40,3,54161
56,40,6,97601
56,40,9,141041
56,44,3,63713
56,44,6,116249
56,44,9,168785
56,48,3,74129
56,48,6,136625
56,48,9,199121
56,52,3,85409
56,52,6,158729
56,52,9,232049
64,4,3,8017
64,8,3,9857
64,8,6,11633
64,12,3,12561
64,12,6,16521
64,12,9,20481
64,16,3,16129
64,16,6,23137
64,16,9,30145
64,20,3,20561
64,20,6,31481
64,20,9,42401
64,24,3,25857
64,24,6,41553
64,24,9,57249
64,28,3,32017
64,28,6,53353
64,28,9,74689
64,32,3,39041
64,32,6,66881
64,32,9,94721
64,36,3,46929
64,36,6,82137
64,36,9,117345
64,40,3,55681
64,40,6,99121
64,40,9,142561
64,44,3,65297
64,44,6,117833
64,44,9,170369
64,48,3,75777
64,48,6,138273
64,48,9,200769
64,52,3,87121
64,52,6,160441
64,52,9,233761
64,56,3,99329
64,56,6,184337
64,56,9,269345
64,60,3,112401
64,60,6,209961
64,60,9,307521
72,4,3,8961
72,8,3,10865
72,8,6,12641
72,12,3,13633
